state,value
AK,69460
AL,48910
AR,43090
AZ,70850
CA,87850
CO,92690
CT,67530
DC,102400
DE,66170
FL,61890
GA,62070
HI,83480
IA,47410
ID,69450
IL,54050
IN,49330
KS,46720
KY,43160
LA,48250
MA,77400
MD,81390
ME,53360
MI,48050
MN,63860
MO,49420
MS,41450
MT,58390
NC,61070
ND,53300
NE,49530
NH,66480
NJ,69550
NM,49260
NV,71260
NY,59420
OH,46780
OK,43170
OR,69640
PA,50360
RI,60090
SC,59460
SD,52270
TN,56690
TX,60020
UT,83350
VA,77060
VT,52910
WA,85880
WI,49210
WV,37850
WY,57120
